Country,Doctors_Per_10k,Births_Attended_By_Skilled_Personnel,Maternal_Mortality_Rate
Albania,18.83,99.80,12.53
Albania,18.83,99.30,12.53
Albania,18.83,99.80,12.53
Albania,18.83,100.00,12.53
Albania,18.83,100.00,12.53
Albania,18.83,100.00,12.53
Albania,18.83,99.10,10.20
Albania,18.83,98.00,10.20
Albania,18.83,99.80,10.20
Albania,18.83,99.30,10.20
Albania,18.83,99.80,10.20
Albania,18.83,100.00,10.20
Albania,18.83,100.00,10.20
Albania,18.83,100.00,10.20
Albania,18.83,99.10,7.80
Albania,18.83,98.00,7.80
Albania,18.83,99.80,7.80
Albania,18.83,99.30,7.80
Albania,18.83,99.80,7.80
Albania,18.83,100.00,7.80
Albania,18.83,100.00,7.80
Albania,18.83,100.00,7.80
Albania,18.83,99.10,7.22
Albania,18.83,98.00,7.22
Albania,18.83,99.80,7.22
Albania,18.83,99.30,7.22
Albania,18.83,99.80,7.22
Albania,18.83,100.00,7.22
Albania,18.83,100.00,7.22
Albania,18.83,100.00,7.22
Albania,18.83,99.10,8.52
Albania,18.83,100.00,8.52
Albania,18.83,100.00,8.52
Albania,18.83,100.00,8.52
Albania,18.83,99.80,8.52
Albania,18.83,99.30,8.52
Albania,18.83,99.80,8.52
Albania,18.83,98.00,8.52
Albania,18.83,99.10,8.05
Albania,18.83,98.00,8.05
Albania,18.83,99.80,8.05
Albania,18.83,99.30,8.05
Albania,18.83,99.80,8.05
Albania,18.83,100.00,8.05
Albania,18.83,100.00,8.05
Albania,18.83,100.00,8.05
Albania,18.83,99.10,5.31
Albania,18.83,100.00,5.31
Albania,18.83,100.00,5.31
Albania,18.83,100.00,5.31
Albania,18.83,99.80,5.31
Albania,18.83,99.30,5.31
Albania,18.83,99.80,5.31
Albania,18.83,98.00,5.31
Albania,18.83,99.10,8.28
Albania,18.83,98.00,8.28
Albania,18.83,99.80,8.28
Albania,18.83,99.30,8.28
Albania,18.83,100.00,8.28
Albania,18.83,100.00,8.28
Albania,18.83,100.00,8.28
Albania,18.83,99.80,8.28
