country,maternal_mortality_rate
Madagascar,627.66
Malawi,627.63
Liberia,627.55
Madagascar,627.18
Eswatini,627.05
Djibouti,625.97
Guinea,625.83
Madagascar,625.64
Bangladesh,625.11
Tanzania,625.11
Benin,624.83
Sudan,624.44
Timor-Leste,624.09
Senegal,623.96
Comoros,623.71
Ghana,623.15
"Burkina Faso",621.79
Bhutan,621.71
Mali,621.17
"DR Congo",620.59
Afghanistan,620.41
Djibouti,620.34
Gambia,619.80
Eritrea,619.24
"DR Congo",618.64
Djibouti,618.40
Burundi,618.33
Zimbabwe,618.33
"Sierra Leone",618.32
Senegal,617.84
Senegal,617.07
Benin,615.47
Kenya,614.80
Uganda,614.63
"Burkina Faso",614.25
India,614.23
Djibouti,613.94
Cambodia,613.74
Kenya,613.45
Comoros,613.02
Kenya,612.49
Comoros,612.32
Benin,611.55
Djibouti,610.60
Cameroon,610.57
Lesotho,609.73
Morocco,609.63
Laos,609.13
Laos,608.16
Burundi,608.01
Benin,607.92
Laos,607.90
Zambia,607.30
Eswatini,606.84
Senegal,606.48
Senegal,606.15
Cambodia,605.59
Senegal,605.31
Tanzania,604.64
Bhutan,603.62
Ethiopia,603.16
"DR Congo",603.13
Zambia,602.99
Comoros,602.60
Uganda,602.29
Togo,601.91
"DR Congo",601.46
"Equatorial Guinea",601.29
Eswatini,600.28
Eswatini,599.44
Zambia,599.19
Rwanda,598.73
Lesotho,598.64
Benin,598.17
Gambia,597.98
Senegal,597.83
Madagascar,597.78
Sudan,597.71
Gambia,596.54
Senegal,596.22
Kenya,596.01
"DR Congo",595.28
Senegal,595.00
Angola,594.19
Comoros,594.17
Uganda,594.17
Niger,593.86
Benin,591.92
Togo,591.44
Togo,591.07
Benin,590.86
Mauritania,590.45
Benin,590.21
Lesotho,590.17
Morocco,589.86
Zimbabwe,589.17
Zambia,588.89
Malawi,588.57
"Sierra Leone",588.39
Eswatini,588.35
Tanzania,588.05
Cambodia,587.80
Haiti,587.69
Senegal,587.41
"Burkina Faso",586.66
Bolivia,586.51
Mali,586.34
Mauritania,586.07
Togo,586.03
Haiti,585.75
Mali,585.74
